project_id,milestone_name,planned_date,achieved_date,is_delayed
PRJ-00001,Detailed Alignment Survey & RoW Acquisition,2025-11-25,2025-11-16,False
PRJ-00001,Forest & Railway Board Sanction,2026-04-26,2026-04-18,False
PRJ-00001,Tendering & Major Civil Contract Award,2026-09-25,,False
PRJ-00001,"Earthwork, Tunnels & Bridge Abutments",2027-02-25,,False
PRJ-00001,Track Laying & 25kV OHE Electrification,2027-07-27,,False
PRJ-00001,Signalling (Kavach) & CRS Safety Inspection,2027-12-26,,False
PRJ-00002,Land Acquisition & 3D Notification (90% RoW),2022-04-30,2022-04-25,False
PRJ-00002,Forest & Environmental Clearance,2022-11-05,2022-10-29,False
PRJ-00002,EPC / HAM Contract Award & Financial Close,2023-05-13,2023-05-02,False
PRJ-00002,"Earthwork, Embankment & Subgrade Completion",2023-11-18,2023-11-09,False
PRJ-00002,Major Bridges & Flyover Structures Erection,2024-05-26,2024-06-04,False
PRJ-00002,"Bituminous Pavement, Signage & Final COD",2024-12-01,2024-11-26,False
PRJ-00003,Land Acquisition & 3D Notification (90% RoW),2024-12-03,2024-12-05,False
PRJ-00003,Forest & Environmental Clearance,2025-05-09,2025-05-03,False
PRJ-00003,EPC / HAM Contract Award & Financial Close,2025-10-13,2025-10-18,False
PRJ-00003,"Earthwork, Embankment & Subgrade Completion",2026-03-19,2026-03-23,False
PRJ-00003,Major Bridges & Flyover Structures Erection,2026-08-23,,False
PRJ-00003,"Bituminous Pavement, Signage & Final COD",2027-01-27,,False
PRJ-00004,Detailed Alignment Survey & RoW Acquisition,2022-02-22,2022-02-18,False
PRJ-00004,Forest & Railway Board Sanction,2022-07-29,2022-10-20,True
PRJ-00004,Tendering & Major Civil Contract Award,2023-01-02,2023-07-22,True
PRJ-00004,"Earthwork, Tunnels & Bridge Abutments",2023-06-08,2023-09-14,True
PRJ-00004,Track Laying & 25kV OHE Electrification,2023-11-12,2024-06-08,True
PRJ-00004,Signalling (Kavach) & CRS Safety Inspection,2024-04-17,,True
PRJ-00005,Land Acquisition & 3D Notification (90% RoW),2024-12-25,2025-01-03,False
PRJ-00005,Forest & Environmental Clearance,2026-01-17,,True
PRJ-00005,EPC / HAM Contract Award & Financial Close,2027-02-09,,False
PRJ-00005,"Earthwork, Embankment & Subgrade Completion",2028-03-02,,False
PRJ-00005,Major Bridges & Flyover Structures Erection,2029-03-25,,False
PRJ-00005,"Bituminous Pavement, Signage & Final COD",2030-04-17,,False
PRJ-00006,AERB Site Clearance & Environmental Approval,2022-12-25,2022-12-22,False
PRJ-00006,First Pour of Concrete (FPC) Milestone,2023-06-18,2023-06-23,False
PRJ-00006,Reactor Building Inner Containment Dome,2023-12-11,2023-12-10,False
PRJ-00006,Reactor Pressure Vessel & Steam Generator Installation,2024-06-03,2024-05-23,False
PRJ-00006,"Secondary Piping, Turbine & Grid Interface",2024-11-25,2024-11-18,False
PRJ-00006,AERB Fuel Loading Permission & Full Power COD,2025-05-20,2025-05-09,False
PRJ-00007,Land Acquisition & 3D Notification (90% RoW),2023-01-18,2023-01-23,False
PRJ-00007,Forest & Environmental Clearance,2023-07-31,2023-10-09,True
PRJ-00007,EPC / HAM Contract Award & Financial Close,2024-02-10,2024-09-29,True
PRJ-00007,"Earthwork, Embankment & Subgrade Completion",2024-08-22,,True
PRJ-00007,Major Bridges & Flyover Structures Erection,2025-03-04,,True
PRJ-00007,"Bituminous Pavement, Signage & Final COD",2025-09-14,,True
PRJ-00008,Statutory Approvals & Land Possession,2024-04-16,2024-04-18,False
PRJ-00008,Engineering Design & EPC Contract Award,2024-08-14,2024-08-23,False
PRJ-00008,Civil Works Foundation & Substructure,2024-12-12,2024-12-05,False
PRJ-00008,Main Equipment Supply & Installation,2025-04-11,2025-04-20,False
PRJ-00008,"Piping, Cabling & Auxiliary Works",2025-08-09,2025-08-14,False
PRJ-00008,"Pre-commissioning, Testing & Final Handover",2025-12-07,2025-12-02,False
PRJ-00009,Statutory Approvals & Land Possession,2025-02-15,2025-02-19,False
PRJ-00009,Engineering Design & EPC Contract Award,2025-08-23,,True
PRJ-00009,Civil Works Foundation & Substructure,2026-02-28,,True
PRJ-00009,Main Equipment Supply & Installation,2026-09-05,,False
PRJ-00009,"Piping, Cabling & Auxiliary Works",2027-03-14,,False
PRJ-00009,"Pre-commissioning, Testing & Final Handover",2027-09-19,,False
PRJ-00010,Detailed Alignment Survey & RoW Acquisition,2021-06-07,2021-05-30,False
PRJ-00010,Forest & Railway Board Sanction,2021-11-02,2022-04-26,True
PRJ-00010,Tendering & Major Civil Contract Award,2022-03-30,2022-05-19,True
PRJ-00010,"Earthwork, Tunnels & Bridge Abutments",2022-08-24,2022-10-14,True
PRJ-00010,Track Laying & 25kV OHE Electrification,2023-01-19,2023-08-24,True
PRJ-00010,Signalling (Kavach) & CRS Safety Inspection,2023-06-16,2023-11-17,True
PRJ-00011,Land & Depot Acquisition Approval,2024-03-30,2024-04-01,False
PRJ-00011,Utility Shifting & Tree Clearance,2024-08-20,2025-03-31,True
PRJ-00011,Viaduct Pier Construction & TBM Tunneling,2025-01-10,2025-08-14,True
PRJ-00011,Underground / Elevated Stations Civil Structure,2025-06-02,2025-12-25,True
PRJ-00011,Third Rail / OHE & CBTC Signalling,2025-10-23,,True
PRJ-00011,Rolling Stock Trials & CMRS Certification,2026-03-15,,True
