project_id,snapshot_month,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,status
PRJ-00001,2025-09-01,345.77,112.35,17.9,On Track
PRJ-00001,2025-10-01,345.77,115.0,20.0,On Track
PRJ-00001,2025-11-01,345.77,117.65,22.1,On Track
PRJ-00001,2025-12-01,345.77,120.3,24.3,On Track
PRJ-00001,2026-01-01,345.77,122.95,26.4,On Track
PRJ-00001,2026-02-01,345.77,125.59,28.5,On Track
PRJ-00001,2026-03-01,345.77,128.24,30.6,On Track
PRJ-00001,2026-04-01,345.77,130.89,32.8,On Track
PRJ-00001,2026-05-01,345.77,133.54,34.9,On Track
PRJ-00001,2026-06-01,345.77,136.19,37.0,On Track
PRJ-00001,2026-07-01,345.77,138.84,39.2,On Track
PRJ-00001,2026-08-01,345.77,141.49,41.3,On Track
PRJ-00002,2025-09-01,2171.44,1448.3,68.9,On Track
PRJ-00002,2025-10-01,2171.44,1516.01,71.7,On Track
PRJ-00002,2025-11-01,2171.44,1583.72,74.5,On Track
PRJ-00002,2025-12-01,2171.44,1651.44,77.4,On Track
PRJ-00002,2026-01-01,2171.44,1719.15,80.2,On Track
PRJ-00002,2026-02-01,2171.44,1786.87,83.0,On Track
PRJ-00002,2026-03-01,2171.44,1854.58,85.9,On Track
PRJ-00002,2026-04-01,2171.44,1922.29,88.7,On Track
PRJ-00002,2026-05-01,2171.44,1990.01,91.5,On Track
PRJ-00002,2026-06-01,2171.44,2057.72,94.3,On Track
PRJ-00002,2026-07-01,2171.44,2125.44,97.2,On Track
PRJ-00002,2026-08-01,2171.44,2193.15,100.0,Completed
PRJ-00003,2025-09-01,523.27,251.89,34.5,On Track
PRJ-00003,2025-10-01,523.27,260.6,37.7,On Track
PRJ-00003,2025-11-01,523.27,269.32,40.8,On Track
PRJ-00003,2025-12-01,523.27,278.04,43.9,On Track
PRJ-00003,2026-01-01,523.27,286.75,47.1,On Track
PRJ-00003,2026-02-01,523.27,295.47,50.2,On Track
PRJ-00003,2026-03-01,523.27,304.19,53.3,On Track
PRJ-00003,2026-04-01,523.27,312.9,56.5,On Track
PRJ-00003,2026-05-01,523.27,321.62,59.6,On Track
PRJ-00003,2026-06-01,523.27,330.34,62.7,On Track
PRJ-00003,2026-07-01,523.27,339.05,65.9,On Track
PRJ-00003,2026-08-01,523.27,347.77,69.0,On Track
PRJ-00004,2025-09-01,368.3,289.07,49.2,On Track
PRJ-00004,2025-10-01,368.3,297.04,52.1,On Track
PRJ-00004,2025-11-01,368.3,305.0,55.0,On Track
PRJ-00004,2025-12-01,368.3,312.96,57.9,On Track
PRJ-00004,2026-01-01,368.3,320.92,60.7,Delayed
PRJ-00004,2026-02-01,368.3,328.89,63.6,Delayed
PRJ-00004,2026-03-01,368.3,336.85,66.5,Delayed
PRJ-00004,2026-04-01,368.3,344.81,69.4,Delayed
PRJ-00004,2026-05-01,404.86,352.77,72.3,Delayed
PRJ-00004,2026-06-01,404.86,360.74,75.1,Delayed
PRJ-00004,2026-07-01,404.86,368.7,78.0,Delayed
PRJ-00004,2026-08-01,404.86,376.66,80.9,Delayed
PRJ-00005,2025-09-01,11258.18,4491.78,0.0,On Track
PRJ-00005,2025-10-01,11258.18,4638.9,1.7,On Track
PRJ-00005,2025-11-01,11258.18,4786.01,3.4,On Track
PRJ-00005,2025-12-01,11258.18,4933.13,5.1,On Track
PRJ-00005,2026-01-01,11258.18,5080.25,6.8,Stalled
PRJ-00005,2026-02-01,11258.18,5227.37,8.5,Stalled
PRJ-00005,2026-03-01,11258.18,5374.48,10.1,Delayed
PRJ-00005,2026-04-01,14298.89,5521.6,11.8,Delayed
PRJ-00005,2026-05-01,14298.89,5668.72,13.5,Delayed
PRJ-00005,2026-06-01,14298.89,5815.84,15.2,Delayed
PRJ-00005,2026-07-01,14298.89,5962.95,16.9,Delayed
PRJ-00005,2026-08-01,14298.89,6110.07,18.6,Delayed
PRJ-00006,2025-09-01,493.68,330.23,78.7,On Track
PRJ-00006,2025-10-01,493.68,345.09,80.6,On Track
PRJ-00006,2025-11-01,493.68,359.95,82.6,On Track
PRJ-00006,2025-12-01,493.68,374.81,84.5,On Track
PRJ-00006,2026-01-01,493.68,389.67,86.4,On Track
PRJ-00006,2026-02-01,493.68,404.52,88.4,On Track
PRJ-00006,2026-03-01,493.68,419.38,90.3,On Track
PRJ-00006,2026-04-01,493.68,434.24,92.3,On Track
PRJ-00006,2026-05-01,493.68,449.1,94.2,On Track
PRJ-00006,2026-06-01,493.68,463.96,96.1,On Track
PRJ-00006,2026-07-01,493.68,478.82,98.1,On Track
PRJ-00006,2026-08-01,493.68,493.68,100.0,Completed
PRJ-00007,2025-09-01,493.13,299.29,38.0,On Track
PRJ-00007,2025-10-01,493.13,307.05,39.4,On Track
PRJ-00007,2025-11-01,493.13,314.81,40.9,On Track
PRJ-00007,2025-12-01,493.13,322.57,42.3,On Track
PRJ-00007,2026-01-01,493.13,330.34,43.8,Delayed
PRJ-00007,2026-02-01,493.13,338.1,45.2,Delayed
PRJ-00007,2026-03-01,493.13,345.86,46.7,Delayed
PRJ-00007,2026-04-01,493.13,353.62,48.1,Delayed
PRJ-00007,2026-05-01,493.13,361.38,49.6,Delayed
